inp_img,output,flag,username,timestamp
/workspace/emlo2_s4_demo_class/flagged/inp_img/7e18102ff718bbfb56b511908a46ae0d987ae298/tmp3dboo5lc.jpg,/workspace/emlo2_s4_demo_class/flagged/output/tmp1_on79kz.json,,,2023-09-12 06:06:14.911620
/workspace/emlo2_s4_demo_class/flagged/inp_img/d3582213d0cb4b062b60bd28b5669f7431435f15/tmpf0vty70x.jpg,/workspace/emlo2_s4_demo_class/flagged/output/tmpghumv1bs.json,,,2023-09-12 06:29:25.726965
/workspace/emlo2_s4_demo_class/flagged/inp_img/d5fb777dfc8665ea629ce799e6036dbe61387b16/tmpu13_v8tn.jpg,/workspace/emlo2_s4_demo_class/flagged/output/tmpep5rj55a.json,,,2023-09-12 11:57:32.190988
